# Pathway	A1	A10	A11	A12	A2	A3	A4	A5	A6	A7	A8	A9	B1	B10	B11	B12	B2	B3	B4	B5	B7	B8	B9	C1	C2	C3	C4	C5	C6	C7	MAD001F	MAD005C	MAD006F	MAD009F	MAD012C	MAD012F	MAD013C	MAD013F	MAD014F	MAD015F	MAD024C	MAD024Crep	MAD025C	MAD025F	MAD026C	MAD026F	MAD029F	MAD032F	MAD035F	MAD037F	MAD038C	MAD038F	MAD039F	MAD040F	MAD041F	MAD042F	MAD043F	MAD044F	MAD045F	MAD046F	MAD047F	MAD048C	MAD048F	MAD049C	MAD049F	MAD050C	MAD050F	MAD051C	MAD051F	MAD052C	MAD052F	MAD053C	MAD053F	MAD054C	MAD054F	MAD055C	MAD055F	MAD056C	MAD056F	MAD057C	MAD057F	MAD058C	MAD058F	MAD059F	MAD060C	MAD060F
PWY-5686: UMP biosynthesis I|g__Actinomyces.s__Actinomyces_sp_HMSC035G02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000121688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5686: UMP biosynthesis I|g__Actinomyces.s__Actinomyces_sp_HPA0247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000233884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000217171	0	0	0	0	0	0	0	0.00000014179	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5686: UMP biosynthesis I|g__Actinomyces.s__Actinomyces_sp_ICM47	0	0	0.00000103359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000293591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000115783	0	0	0	0	0	0.0000002751	0	0	0.000000203013	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5686: UMP biosynthesis I|g__Actinomyces.s__Actinomyces_sp_oral_taxon_180	0	0	0.0000000627947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5686: UMP biosynthesis I|g__Actinomyces.s__Actinomyces_turicensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000400126	0	0	0	0.0000000883611	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5686: UMP biosynthesis I|g__Actinomyces.s__Actinomyces_viscosus	0	0	0.000000398888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000000969105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000154479	0	0	0.000000413113	0	0	0	0	0	0	0	0.0000000621749	0	0	0	0	0	0
PWY-5686: UMP biosynthesis I|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	0	0.000000227984	0	0.0000000797488	0	0.0000000868367	0	0.000000465245	0.0000000693942	0.000000253295	0	0	0.000000180602	0	0.000000166763	0.000000417091	0	0.000000023111	0.00000115967	0.000000104655	0.000000423567	0	0	0.000000108678	0	0	0	0	0	0	0	0	0.000000742149	0	0.000000350548	0.00000027327	0	0.00000107624	0	0.0000000826859	0	0	0	0.000000761499	0	0	0.000000584421	0.00000171875	0	0.000000565258	0	0.000000510143	0.00000141152	0.000000551962	0	0.00000160561	0.000000237514	0.000000306486	0.00000116352	0.000000552048	0.0000000438533	0	0	0	0.000000751624	0.000000257028	0.000000757655	0	0.0000000246409	0	0	0	0.000000113147	0	0	0	0.000000384582	0.00000040816	0.00000173925	0	0	0.000000555733	0.000000220818	0.00000021799	0	0
PWY-5686: UMP biosynthesis I|g__Agathobaculum.s__Agathobaculum_butyriciproducens	0	0	0	0.00000188034	0.00000044843	0.000000484082	0.00000028615	0	0.000000238107	0.000000579229	0.00000112504	0.0000000689668	0.00000152578	0	0.00000100402	0.000000520384	0.000000657544	0.00000166582	0.00000289299	0.000000449479	0.00000107294	0.000000397761	0.000000527564	0.00000043358	0.000000980726	0	0.00000088252	0	0.000000597918	0.000000181688	0.00000454436	0.000000423843	0.00000168004	0	0.000000907708	0.00000212174	0.00000075864	0.00000274937	0.000000664208	0	0	0.00000046027	0	0.00000157719	0	0.00000199874	0.000000174425	0.000000678266	0.000000970751	0.000000409041	0	0.000000410135	0.000000556658	0.000000855882	0.0000014471	0.000000394298	0.000000543475	0.000000511837	0.000000495545	0	0.000000432258	0.00000146164	0.00000348398	0.000000608453	0.00000120283	0.000000694435	0.000000812329	0	0	0	0.000000144073	0.000000945229	0.000000910443	0.000000942359	0.00000161032	0	0.000000693417	0.00000154129	0.00000336326	0	0	0.000000143134	0	0.000000955568	0	0.000000229815
PWY-5686: UMP biosynthesis I|g__Akkermansia.s__Akkermansia_muciniphila	0	0	0	0.000006475	0	0	0	0.000018636	0	0	0.000000372452	0	0	0	0	0	0.00000379771	0	0.000000240837	0	0	0.000129666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000270001	0	0.000000192005	0	0	0	0	0	0	0	0.0000136863	0	0	0.0000415253	0.00000158959	0	0	0	0	0.0000337694	0	0.000000159944	0	0	0	0	0	0	0	0	0	0	0.000000499396	0.000018952	0	0.00000353162	0	0.00000463464	0.0000336512	0.00000263711	0	0	0	0	0	0	0
PWY-5686: UMP biosynthesis I|g__Alistipes.s__Alistipes_finegoldii	0.000000832063	0.00000108697	0	0.0000012535	0.00000329826	0	0.00000975405	0	0.0000000954346	0.00000158883	0.00000133531	0.000000915833	0.000000615562	0.000000357342	0.0000000428346	0.00000913177	0.00000290917	0.000000415622	0.00000130799	0	0.00000321845	0.0000260208	0.0000064844	0.00000249753	0.00000683816	0.00000449281	0.0000000487677	0	0.000000744666	0	0	0	0.0000019867	0.000000180567	0	0.000000655436	0	0.000000548747	0	0.0000730708	0	0.00000033982	0	0.0000030145	0.0000000347501	0	0.0000121749	0.00000734152	0.000000534297	0.00000200651	0	0	0.000000354578	0.00000150097	0.00000449175	0.000000409967	0.00000346398	0.0000226015	0	0.0000001045	0	0	0	0	0.00000173008	0.000000674834	0.00000685634	0	0.000000816477	0.00000465046	0.0000202268	0	0	0	0.000000600188	0	0	0.00000188149	0.000000998346	0	0.00000209713	0.000000332348	0	0.000000178645	0.0000000956766	0.00000992201
